song_name,song_id,popularity,release_date,release_date_precision,external_ids,spotify_url,artists,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms
Purple Rain,1uvyZBs4IZYRebHIB1747m,75,1984-06-25,day,{'isrc': 'USWB10001880'},https://open.spotify.com/track/1uvyZBs4IZYRebHIB1747m,"[{'artist_name': 'Prince', 'artist_id': '5a2EaR3hamoenG9rDuVn8j'}]",,,,,,,,,,,,
I Just Called To Say I Love You,6RNDeRnWsRMjPdNVgupZCs,76,1999-11-23,day,{'isrc': 'USUMG9900476'},https://open.spotify.com/track/6RNDeRnWsRMjPdNVgupZCs,"[{'artist_name': 'Stevie Wonder', 'artist_id': '7guDJrEfX3qb6FEbdPA5qi'}]",0.748,0.551,1.0,-9.054,1.0,0.0239,0.243,1.57e-06,0.0943,0.65,113.535,262240.0
Pour Some Sugar On Me - Remastered 2017,0PdM2a6oIjqepoEfcJo0RO,73,1987-08-03,day,{'isrc': 'GBUM71701307'},https://open.spotify.com/track/0PdM2a6oIjqepoEfcJo0RO,"[{'artist_name': 'Def Leppard', 'artist_id': '6H1RjVyNruCmrBEWRbD0VZ'}]",0.267,0.953,1.0,-4.899,0.0,0.096,0.00211,0.0,0.283,0.568,84.989,267307.0
Like a Virgin,1ZPlNanZsJSPK5h9YZZFbZ,69,1984-11-12,day,{'isrc': 'USWB10002748'},https://open.spotify.com/track/1ZPlNanZsJSPK5h9YZZFbZ,"[{'artist_name': 'Madonna', 'artist_id': '6tbjWDEIzxoDsBA1FuhfPW'}]",0.773,0.656,3.0,-10.88,0.0,0.0381,0.202,0.00323,0.0697,0.971,119.754,218627.0
Love Shack,4W4wYHtsrgDiivRASVOINL,69,1989-06-23,day,{'isrc': 'USRE18900030'},https://open.spotify.com/track/4W4wYHtsrgDiivRASVOINL,"[{'artist_name': ""The B-52's"", 'artist_id': '3gdbcIdNypBsYNu3iiCjtN'}]",,,,,,,,,,,,
Back In Black,08mG3Y1vljYA6bvDt4Wqkj,83,1980-07-25,day,{'isrc': 'AUAP08000046'},https://open.spotify.com/track/08mG3Y1vljYA6bvDt4Wqkj,"[{'artist_name': 'AC/DC', 'artist_id': '711MCceyCBcFnzjGY4Q7Un'}]",0.31,0.7,9.0,-5.678,1.0,0.047,0.011,0.00965,0.0828,0.763,188.386,255493.0
Upside Down,3pbtBomO4Zt5gGiqsYeiBH,70,1980-05-22,day,{'isrc': 'USMO18000379'},https://open.spotify.com/track/3pbtBomO4Zt5gGiqsYeiBH,"[{'artist_name': 'Diana Ross', 'artist_id': '3MdG05syQeRYPPcClLaUGl'}]",0.873,0.855,5.0,-8.559,0.0,0.0615,0.178,0.0282,0.0377,0.884,107.868,245600.0
Money for Nothing,4yqtwO7MQIIXqoiRBPHAgR,65,1985-05-13,day,{'isrc': 'GBF088500674'},https://open.spotify.com/track/4yqtwO7MQIIXqoiRBPHAgR,"[{'artist_name': 'Dire Straits', 'artist_id': '0WwSkZ7LtFUFjGjMZBMt6T'}]",0.667,0.655,2.0,-9.339,0.0,0.0367,0.0491,0.000894,0.0641,0.657,134.212,506400.0
Total Eclipse of the Heart,7wuJGgpTNzbUyn26IOY6rj,81,2009-03-26,day,{'isrc': 'GBBBN8300002'},https://open.spotify.com/track/7wuJGgpTNzbUyn26IOY6rj,"[{'artist_name': 'Bonnie Tyler', 'artist_id': '0SD4eZCN4Kr0wQk56hCdh2'}]",,,,,,,,,,,,
Welcome To The Jungle,0G21yYKMZoHa30cYVi1iA8,82,1987-07-21,day,{'isrc': 'USGF18714801'},https://open.spotify.com/track/0G21yYKMZoHa30cYVi1iA8,"[{'artist_name': ""Guns N' Roses"", 'artist_id': '3qm84nBOXUEQ2vnTfUTTFC'}]",0.453,0.987,8.0,-4.485,1.0,0.0889,0.0195,0.283,0.268,0.316,123.544,273480.0
Do They Know It's Christmas? - 1984 Version,4Yg2w0P29BBBMixyeNjDtj,63,1984-11-25,day,{'isrc': 'GBF088400001'},https://open.spotify.com/track/4Yg2w0P29BBBMixyeNjDtj,"[{'artist_name': 'Band Aid', 'artist_id': '35S20clEkkSNUo23ViaslZ'}]",,,,,,,,,,,,
Born in the U.S.A.,0dOg1ySSI7NkpAe89Zo0b9,74,1984-06-04,day,{'isrc': 'USSM18400406'},https://open.spotify.com/track/0dOg1ySSI7NkpAe89Zo0b9,"[{'artist_name': 'Bruce Springsteen', 'artist_id': '3eqjTLE0HfPfh78zjh6TqT'}]",,,,,,,,,,,,
Footloose,6W2VbtvMrDXm5vYeB7amkO,71,1997-03-25,day,{'isrc': 'USSM18400107'},https://open.spotify.com/track/6W2VbtvMrDXm5vYeB7amkO,"[{'artist_name': 'Kenny Loggins', 'artist_id': '3Y3xIwWyq5wnNHPp5gPjOW'}]",0.546,0.895,9.0,-7.189,1.0,0.0579,0.0819,1.42e-05,0.0768,0.494,174.089,220707.0
Time After Time,7o9uu2GDtVDr9nsR7ZRN73,79,1983-10-14,day,{'isrc': 'USSM18300650'},https://open.spotify.com/track/7o9uu2GDtVDr9nsR7ZRN73,"[{'artist_name': 'Cyndi Lauper', 'artist_id': '2BTZIqw0ntH9MvilQ3ewNY'}]",,,,,,,,,,,,
Sledgehammer - 2012 Remaster,4AUS8KNz7zX8XFu9L38GT0,57,1986-05-19,day,{'isrc': 'GBCPB1200864'},https://open.spotify.com/track/4AUS8KNz7zX8XFu9L38GT0,"[{'artist_name': 'Peter Gabriel', 'artist_id': '7C4sUpWGlTy7IANjruj02I'}]",0.641,0.682,8.0,-7.561,1.0,0.0392,0.044,0.0,0.0394,0.468,96.319,311986.0
"(I've Had) The Time Of My Life - From ""Dirty Dancing"" Soundtrack",6W7ztLBiRzBN46ZaPAcQ0F,67,1987-09-24,day,{'isrc': 'USRC10300895'},https://open.spotify.com/track/6W7ztLBiRzBN46ZaPAcQ0F,"[{'artist_name': 'Bill Medley', 'artist_id': '1XE70WwxhnrXNAJYQQ9ygx'}, {'artist_name': 'Jennifer Warnes', 'artist_id': '1BwHztAQKypBuy5WBEdJnG'}]",,,,,,,,,,,,
Don't You (Forget About Me),3fH4KjXFYMmljxrcGrbPj9,76,1985,year,{'isrc': 'GBAAA8500001'},https://open.spotify.com/track/3fH4KjXFYMmljxrcGrbPj9,"[{'artist_name': 'Simple Minds', 'artist_id': '6hN9F0iuULZYWXppob22Aj'}]",0.66,0.816,2.0,-6.61,1.0,0.0299,0.168,0.0181,0.0608,0.678,111.346,263040.0
Pride (In The Name Of Love) - Remastered 2009,3dh2LlmeMqKJbzn2WUgt3d,61,1984-10-01,day,{'isrc': 'GBUM70817519'},https://open.spotify.com/track/3dh2LlmeMqKJbzn2WUgt3d,"[{'artist_name': 'U2', 'artist_id': '51Blml2LZPmy7TTiAg47vQ'}]",0.458,0.843,4.0,-7.201,1.0,0.0316,0.00135,0.000296,0.778,0.713,105.701,228427.0
Jessie's Girl,5RsUlxLto4NZbhJpqJbHfN,76,1981-03-13,day,{'isrc': 'USRC18108188'},https://open.spotify.com/track/5RsUlxLto4NZbhJpqJbHfN,"[{'artist_name': 'Rick Springfield', 'artist_id': '6IFXsrXBpwbIqtOUOiAa3p'}]",0.727,0.832,2.0,-5.851,1.0,0.05,0.164,0.0,0.105,0.822,131.703,194120.0
Let's Dance - 2018 Remaster,3ix6K4wZY29bCujrSznwFZ,70,1983-04-14,day,{'isrc': 'USJT11700482'},https://open.spotify.com/track/3ix6K4wZY29bCujrSznwFZ,"[{'artist_name': 'David Bowie', 'artist_id': '0oSGxfWSnnOXhD2fKuz2Gy'}]",,,,,,,,,,,,
In The Air Tonight - 2015 Remastered,18AXbzPzBS8Y3AkgSxzJPb,79,1981-01-01,day,{'isrc': 'USAT21502120'},https://open.spotify.com/track/18AXbzPzBS8Y3AkgSxzJPb,"[{'artist_name': 'Phil Collins', 'artist_id': '4lxfqrEsLX6N1N4OCSkILp'}]",0.446,0.239,0.0,-13.945,1.0,0.0316,0.551,4.1e-06,0.0697,0.298,189.507,336453.0
Another Day in Paradise - 2016 Remaster,1NCuYqMc8hKMb4cpNTcJbD,79,1989-11-20,day,{'isrc': 'USRH11602150'},https://open.spotify.com/track/1NCuYqMc8hKMb4cpNTcJbD,"[{'artist_name': 'Phil Collins', 'artist_id': '4lxfqrEsLX6N1N4OCSkILp'}]",0.78,0.565,3.0,-7.32,0.0,0.0306,0.736,0.00269,0.063,0.365,101.967,322133.0
Fast Car,2M9ro2krNb7nr7HSprkEgo,80,1988-04-05,day,{'isrc': 'USEE10180719'},https://open.spotify.com/track/2M9ro2krNb7nr7HSprkEgo,"[{'artist_name': 'Tracy Chapman', 'artist_id': '7oPgCQqMMXEXrNau5vxYZP'}]",0.711,0.292,4.0,-15.523,0.0,0.037,0.313,0.0,0.131,0.194,103.951,296800.0
Thriller,2LlQb7Uoj1kKyGhlkBf9aC,72,1982-11-30,day,{'isrc': 'USSM19902989'},https://open.spotify.com/track/2LlQb7Uoj1kKyGhlkBf9aC,"[{'artist_name': 'Michael Jackson', 'artist_id': '3fMbdgg4jU18AjLCKBhRSm'}]",,,,,,,,,,,,
How Soon Is Now? - 2011 Remaster,1YrnDTqvcnUKxAIeXyaEmU,73,1984,year,{'isrc': 'GBCRL1100068'},https://open.spotify.com/track/1YrnDTqvcnUKxAIeXyaEmU,"[{'artist_name': 'The Smiths', 'artist_id': '3yY2gUcIsjMr8hjo51PoJ8'}]",,,,,,,,,,,,
Dancing In the Dark,7FwBtcecmlpc1sLySPXeGE,82,1984-06-04,day,{'isrc': 'USSM18400416'},https://open.spotify.com/track/7FwBtcecmlpc1sLySPXeGE,"[{'artist_name': 'Bruce Springsteen', 'artist_id': '3eqjTLE0HfPfh78zjh6TqT'}]",0.527,0.942,1.0,-5.64,0.0,0.0366,0.0115,0.0,0.188,0.495,148.723,241307.0
Fight The Power,1yo16b3u0lptm6Cs7lx4AD,54,1990-04-10,day,{'isrc': 'USDJ29000034'},https://open.spotify.com/track/1yo16b3u0lptm6Cs7lx4AD,"[{'artist_name': 'Public Enemy', 'artist_id': '6Mo9PoU6svvhgEum7wh2Nd'}]",,,,,,,,,,,,
Super Freak,2dCmGcEOQrMQhMMS8Vj7Ca,72,1981-04-07,day,{'isrc': 'USMO18100048'},https://open.spotify.com/track/2dCmGcEOQrMQhMMS8Vj7Ca,"[{'artist_name': 'Rick James', 'artist_id': '0FrpdcVlJQqibaz5HfBUrL'}]",,,,,,,,,,,,
Start Me Up - Remastered 2009,7HKez549fwJQDzx3zLjHKC,76,1981-08-24,day,{'isrc': 'GBUM70909474'},https://open.spotify.com/track/7HKez549fwJQDzx3zLjHKC,"[{'artist_name': 'The Rolling Stones', 'artist_id': '22bE4uQ6baNwSHPVcDxLCe'}]",0.631,0.932,5.0,-4.142,1.0,0.0354,0.0436,0.137,0.0918,0.971,122.429,213067.0
Free Fallin',5tVA6TkbaAH9QMITTQRrNv,77,1989-01-01,day,{'isrc': 'USMC18925673'},https://open.spotify.com/track/5tVA6TkbaAH9QMITTQRrNv,"[{'artist_name': 'Tom Petty', 'artist_id': '2UZMlIwnkgAEDBsw1Rejkn'}]",0.623,0.449,5.0,-13.333,1.0,0.0253,0.212,0.0,0.0613,0.572,84.383,256000.0
